Name,Population,Median_Age,Household_Income,Per_Capita_Income,Poverty_Count,Poverty_Rate,Unemployment_Rate,County,State
"Rooks County, Kansas",5053.0,44.7,49415.0,26420.0,380.0,7.520284979220265,1.543637443103107,Rooks, Kansas
"Clark County, Kansas",2026.0,45.3,53348.0,28227.0,213.0,10.513326752221127,0.7403751233958539,Clark, Kansas
"Harper County, Kansas",5594.0,42.4,49865.0,24800.0,874.0,15.623882731498034,2.592062924562031,Harper, Kansas
"Lyon County, Kansas",33251.0,33.4,46338.0,26904.0,5356.0,16.10778623199302,2.99840606297555,Lyon, Kansas
"Pawnee County, Kansas",6629.0,43.0,49917.0,25131.0,353.0,5.32508674008146,1.010710514406396,Pawnee, Kansas
"Comanche County, Kansas",1740.0,48.1,54821.0,30355.0,175.0,10.057471264367816,1.6666666666666667,Comanche, Kansas
"Gove County, Kansas",2644.0,48.2,48317.0,28859.0,259.0,9.795763993948565,0.7942511346444779,Gove, Kansas
"Harvey County, Kansas",34503.0,39.2,57982.0,28226.0,3172.0,9.19340347216184,1.6926064400197085,Harvey, Kansas
"Kearny County, Kansas",3907.0,34.7,52599.0,23415.0,749.0,19.170719221909394,0.947018172510878,Kearny, Kansas
"McPherson County, Kansas",28567.0,40.8,59089.0,31006.0,2382.0,8.338292435327476,1.0256589771414568,McPherson, Kansas
"Desha County, Arkansas",11709.0,40.1,31893.0,19235.0,3363.0,28.721496284909048,3.46741822529678,Desha, Arkansas
"Fulton County, Arkansas",12231.0,48.4,35405.0,19697.0,2491.0,20.36628239718748,2.0031068596190007,Fulton, Arkansas
"Howard County, Arkansas",13311.0,39.2,36059.0,24481.0,2539.0,19.07444970325295,3.0801592667718434,Howard, Arkansas
"Garland County, Arkansas",98555.0,45.0,44777.0,27171.0,18032.0,18.296382730455075,2.4270711785297547,Garland, Arkansas
"Mississippi County, Arkansas",42126.0,36.6,39962.0,22750.0,10017.0,23.77866400797607,4.187437686939182,Mississippi, Arkansas
"Pope County, Arkansas",63761.0,35.3,43462.0,23391.0,11349.0,17.799281692570695,2.8591145057323444,Pope, Arkansas
"Prairie County, Arkansas",8189.0,47.2,42660.0,25789.0,1180.0,14.409573818537064,3.19941384784467,Prairie, Arkansas
"Union County, Arkansas",39449.0,40.3,44663.0,25193.0,7444.0,18.869933331643384,2.0659585794316717,Union, Arkansas
"Woodruff County, Arkansas",6533.0,45.5,32845.0,23423.0,1596.0,24.429817847849378,3.4593601714373183,Woodruff, Arkansas
"Cleburne County, Arkansas",25100.0,49.4,44483.0,27227.0,3452.0,13.752988047808767,1.8525896414342629,Cleburne, Arkansas
"Cleveland County, Arkansas",8128.0,42.9,46684.0,24225.0,1475.0,18.147145669291337,2.18996062992126,Cleveland, Arkansas
"Jackson County, Arkansas",17027.0,39.7,34109.0,20295.0,3489.0,20.49098490632525,2.6428613378751398,Jackson, Arkansas
"Hempstead County, Arkansas",21842.0,40.4,42860.0,21521.0,4892.0,22.397216372127094,2.0373592161889937,Hempstead, Arkansas
"Sharp County, Arkansas",17139.0,47.6,34671.0,21423.0,3743.0,21.83908045977012,1.5695198086236068,Sharp, Arkansas
"Stone County, Arkansas",12475.0,50.1,38188.0,20695.0,2449.0,19.6312625250501,2.428857715430862,Stone, Arkansas
"Washington County, Arkansas",232289.0,32.0,50451.0,27790.0,36730.0,15.812199458433245,2.405193530472816,Washington, Arkansas
"Baxter County, Arkansas",41427.0,52.2,42260.0,26863.0,5360.0,12.938421802206289,1.8659328457286308,Baxter, Arkansas
"Ashley County, Arkansas",20270.0,41.7,44744.0,23391.0,3347.0,16.512086827824373,2.200296003946719,Ashley, Arkansas
"Craighead County, Arkansas",107345.0,34.2,47286.0,26948.0,17130.0,15.957892775629976,3.0648842517117703,Craighead, Arkansas
"Greene County, Arkansas",44937.0,38.0,47056.0,23494.0,7246.0,16.12479693793533,3.449273427242584,Greene, Arkansas
"Perry County, Arkansas",10355.0,43.7,48667.0,23164.0,1830.0,17.672621921776923,2.1342346692419123,Perry, Arkansas
"Poinsett County, Arkansas",23896.0,40.1,40921.0,20963.0,5000.0,20.92400401740877,2.540174087713425,Poinsett, Arkansas
"Sevier County, Arkansas",17081.0,35.3,47704.0,22320.0,3590.0,21.017504829927987,2.4998536385457526,Sevier, Arkansas
"Calhoun County, Arkansas",5192.0,44.5,46417.0,23688.0,680.0,13.097072419106315,1.8682588597842835,Calhoun, Arkansas
"Clark County, Arkansas",22386.0,33.7,41620.0,21337.0,4017.0,17.94425087108014,0.9604216921290092,Clark, Arkansas
"Lawrence County, Arkansas",16549.0,40.8,39993.0,21473.0,2497.0,15.08852498640401,3.0998851894374284,Lawrence, Arkansas
"Monroe County, Arkansas",7050.0,47.3,38468.0,23538.0,1887.0,26.76595744680851,3.4326241134751774,Monroe, Arkansas
"Conway County, Arkansas",20858.0,42.5,42802.0,25158.0,3649.0,17.494486527950905,3.0779557004506666,Conway, Arkansas
"Newton County, Arkansas",7812.0,49.0,38082.0,19735.0,1226.0,15.693804403481822,1.3440860215053765,Newton, Arkansas
"Arkansas County, Arkansas",17914.0,40.7,46696.0,26386.0,3041.0,16.975549849279894,2.712961929217372,Arkansas, Arkansas
"Lonoke County, Arkansas",72528.0,36.2,59094.0,27293.0,8775.0,12.098775645268034,1.6710787557908668,Lonoke, Arkansas
"Carroll County, Arkansas",27965.0,45.0,46110.0,25295.0,4096.0,14.646880028607187,1.6341855891292687,Carroll, Arkansas
"St. Francis County, Arkansas",25900.0,38.8,35348.0,18447.0,5585.0,21.563706563706564,2.1621621621621623,St., Arkansas
"Pulaski County, Arkansas",392967.0,37.2,51749.0,32692.0,64988.0,16.53777543661427,2.288487328452516,Pulaski, Arkansas
"Merced County, California",271382.0,31.1,53672.0,23011.0,56217.0,20.715080587511327,5.20926222078104,Merced, California
"Mariposa County, California",17420.0,51.7,48820.0,28757.0,2616.0,15.017221584385764,3.639494833524685,Mariposa, California
"Modoc County, California",8907.0,47.8,45507.0,22843.0,1618.0,18.165487818569666,3.1211406758729088,Modoc, California
"Contra Costa County, California",1142251.0,39.7,99716.0,48178.0,98595.0,8.631640506333548,2.7482576071283806,Contra, California
"Inyo County, California",17977.0,45.8,57316.0,32590.0,1635.0,9.094954664293263,1.9747455081493017,Inyo, California
"Stanislaus County, California",543194.0,34.1,60704.0,26258.0,81415.0,14.988199427828732,4.197395405692993,Stanislaus, California
"Santa Barbara County, California",444829.0,33.8,74624.0,36039.0,57556.0,12.938904612783787,2.955517738276956,Santa, California
"Tehama County, California",63912.0,41.0,44514.0,24301.0,13930.0,21.795593941669804,3.626861935160846,Tehama, California
"Mono County, California",14310.0,37.7,62260.0,34552.0,1713.0,11.970649895178196,2.0335429769392035,Mono, California
"San Benito County, California",60376.0,35.7,86958.0,33174.0,5061.0,8.38246985557175,3.5825493573605405,San, California
"Bryan County, Georgia",37063.0,34.6,72624.0,31623.0,4565.0,12.316865877020211,3.2215416992688124,Bryan, Georgia
"Butts County, Georgia",24090.0,38.6,43471.0,27195.0,4565.0,18.94977168949772,1.99252801992528,Butts, Georgia
"Camden County, Georgia",53231.0,32.8,56951.0,29741.0,7961.0,14.955571001859818,3.035824989198024,Camden, Georgia
"Crawford County, Georgia",12325.0,44.4,46283.0,23204.0,2430.0,19.716024340770787,3.553752535496957,Crawford, Georgia
"Early County, Georgia",10312.0,39.9,30640.0,19026.0,3086.0,29.92629945694337,3.4619860356865786,Early, Georgia
"Coffee County, Georgia",43021.0,36.3,40859.0,19905.0,7786.0,18.098138118593248,1.6178145556821086,Coffee, Georgia
"Coweta County, Georgia",143260.0,39.0,75913.0,33875.0,15191.0,10.603797291637582,2.1087533156498672,Coweta, Georgia
"Gilmer County, Georgia",30414.0,47.2,52625.0,27282.0,5059.0,16.633787071743278,1.8971526270796344,Gilmer, Georgia
"Walton County, Georgia",91442.0,38.7,61599.0,27889.0,10901.0,11.921217821132519,2.4747927648126677,Walton, Georgia
"Wilkes County, Georgia",9844.0,45.1,37838.0,24674.0,2294.0,23.30353514831369,1.3002844372206421,Wilkes, Georgia
"Dodge County, Georgia",20829.0,41.8,39302.0,20216.0,4075.0,19.56406932641989,2.2660713428393104,Dodge, Georgia
"Gordon County, Georgia",57202.0,38.4,45865.0,24092.0,10186.0,17.807069682878222,1.5803643229257718,Gordon, Georgia
"Cherokee County, Georgia",247515.0,38.7,82740.0,36503.0,18356.0,7.416116194978082,1.9578611397289052,Cherokee, Georgia
"Fayette County, Georgia",112303.0,43.4,90145.0,44061.0,6167.0,5.491393818508857,1.911792205016785,Fayette, Georgia
"Lee County, Georgia",29502.0,37.2,69280.0,29348.0,3632.0,12.31102976069419,3.233679072605247,Lee, Georgia
"Pickens County, Georgia",31387.0,45.4,67631.0,31965.0,3175.0,10.115652977347311,2.3258036766814287,Pickens, Georgia
"Greene County, Georgia",17349.0,50.2,52129.0,37818.0,3353.0,19.326762349414953,2.1845639518127844,Greene, Georgia
"Cook County, Georgia",17177.0,37.3,41854.0,20128.0,4051.0,23.58386214123537,2.4800605460790592,Cook, Georgia
"Dawson County, Georgia",24536.0,43.6,66281.0,34239.0,2084.0,8.493641995435281,2.0255950440169546,Dawson, Georgia
"Fulton County, Georgia",1036200.0,35.5,69673.0,47163.0,144224.0,13.918548542752365,3.0303030303030303,Fulton, Georgia
"Hawaii County, Hawaii",199459.0,42.7,62409.0,30542.0,30632.0,15.357542151519864,2.898841365894745,Hawaii, Hawaii
"Honolulu County, Hawaii",984821.0,37.9,85857.0,36816.0,79070.0,8.028870221085862,1.9813752956120958,Honolulu, Hawaii
"Kauai County, Hawaii",71769.0,42.6,83554.0,33143.0,5752.0,8.014602404938065,2.010617397483593,Kauai, Hawaii
"Kalawao County, Hawaii",66.0,57.4,69375.0,49118.0,6.0,9.090909090909092,0.0,Kalawao, Hawaii
"Cassia County, Idaho",23690.0,32.9,52935.0,21687.0,3334.0,14.073448712536935,1.2536935415787251,Cassia, Idaho
"Lincoln County, Idaho",5350.0,35.1,50053.0,21656.0,641.0,11.981308411214956,1.8130841121495327,Lincoln, Idaho
"Valley County, Idaho",10709.0,50.6,64475.0,33709.0,764.0,7.134186198524605,0.7657110841348399,Valley, Idaho
"Franklin County, Idaho",13464.0,32.8,57215.0,24185.0,1394.0,10.353535353535351,0.6758764111705288,Franklin, Idaho
"Nez Perce County, Idaho",40217.0,40.8,58107.0,29544.0,5215.0,12.967153193922968,1.8723425417112167,Nez, Idaho
"Kootenai County, Idaho",157322.0,40.2,57242.0,29948.0,18244.0,11.596598060029747,2.0009915968523155,Kootenai, Idaho
"Minidoka County, Idaho",20705.0,35.2,53370.0,24262.0,3428.0,16.55638734605168,1.7580294614827336,Minidoka, Idaho
"Twin Falls County, Idaho",84869.0,34.7,52919.0,25352.0,11975.0,14.10998126524408,1.614252553936066,Twin, Idaho
"Blaine County, Idaho",22373.0,43.2,56694.0,33645.0,2797.0,12.501676127475081,1.1352970097885844,Blaine, Idaho
